"Var1" "Var2" "value" "gender"
"1" 1 1 0.769769537228182 "m"
"2" 2 1 0.862805964559964 "m"
"3" 3 1 0.945096141873525 "m"
"4" 4 1 1.01056777557892 "m"
"5" 5 1 1.12155023101233 "m"
"6" 6 1 1.3066442586753 "m"
"7" 7 1 1.48113109063411 "m"
"8" 8 1 1.67902075688968 "m"
"9" 9 1 1.88158597116104 "m"
"10" 10 1 2.1407156317335 "m"
"11" 11 1 2.39753158143765 "m"
"12" 12 1 2.72757491295585 "m"
"13" 13 1 3.05191016227698 "m"
"14" 14 1 3.39693798296527 "m"
"15" 15 1 3.75966736378647 "m"
"16" 16 1 4.49325801562159 "m"
"17" 17 1 5.09791016788595 "m"
"18" 18 1 5.78367470603156 "m"
"19" 19 1 6.13011737831547 "m"
"20" 20 1 6.74618508322694 "m"
"21" 21 1 7.64738751708707 "m"
"22" 22 1 8.3292077529207 "m"
"23" 23 1 9.59726699255505 "m"
"24" 24 1 11.3087287256449 "m"
"25" 25 1 13.332563819136 "m"
"26" 26 1 15.2869420373334 "m"
"27" 27 1 17.0838202089246 "m"
"28" 28 1 18.6390147568064 "m"
"29" 29 1 20.5542914983321 "m"
"30" 30 1 22.6152524548074 "m"
"31" 31 1 25.2356189056571 "m"
"32" 32 1 28.7841762049249 "m"
"33" 33 1 32.2115025717507 "m"
"34" 34 1 36.2663206047828 "m"
"35" 35 1 39.9599397457131 "m"
"36" 36 1 43.0681522337631 "m"
"37" 37 1 48.2922213060698 "m"
"38" 38 1 53.4666558323721 "m"
"39" 39 1 59.3426980063642 "m"
"40" 40 1 64.6561919186953 "m"
"41" 41 1 71.5776094510183 "m"
"42" 42 1 80.0761913701136 "m"
"43" 43 1 86.3274186707739 "m"
"44" 44 1 92.3219456412183 "m"
"45" 45 1 95.6521725652719 "m"
"46" 46 1 99.7451645982741 "m"
"47" 47 1 104.719860755228 "m"
"48" 48 1 113.312140339618 "m"
"49" 49 1 123.261299695103 "m"
"50" 50 1 127.992343736092 "m"
"51" 51 1 128.835587244081 "m"
"52" 52 1 132.546147423196 "m"
"53" 53 1 105.211065133837 "m"
"54" 54 1 112.63414162684 "m"
"55" 55 1 115.509829200128 "m"
"56" 56 1 114.581972642127 "m"
"57" 57 1 108.278289178187 "m"
"58" 58 1 123.167388445142 "m"
"59" 59 1 137.740063253445 "m"
"60" 60 1 148.20482143437 "m"
"61" 61 1 152.084054434711 "m"
"62" 62 1 167.648715148215 "m"
"63" 63 1 169.185163779386 "m"
"64" 64 1 190.656789708469 "m"
"65" 65 1 188.974919593636 "m"
"66" 66 1 207.19364350586 "m"
"67" 67 1 208.016882164368 "m"
"68" 68 1 209.460215668226 "m"
"69" 69 1 199.974762200148 "m"
"70" 70 1 194.214274863591 "m"
"71" 71 1 179.28018152999 "m"
"72" 72 1 166.005361270534 "m"
"73" 73 1 147.078147900508 "m"
"74" 74 1 122.025789406467 "m"
"75" 75 1 102.761415332426 "m"
"76" 76 1 84.493151880517 "m"
"77" 77 1 69.3539353171763 "m"
"78" 78 1 50.8640260399327 "m"
"79" 79 1 22.2074285362997 "m"
"80" 80 1 13.920622074339 "m"
"81" 1 2 0.861361012857686 "m"
"82" 2 2 0.96545582519805 "m"
"83" 3 2 1.05752201002576 "m"
"84" 4 2 1.13076492962216 "m"
"85" 5 2 1.25492651419687 "m"
"86" 6 2 1.4620046028228 "m"
"87" 7 2 1.65720298693437 "m"
"88" 8 2 1.87857273950558 "m"
"89" 9 2 2.10515722429118 "m"
"90" 10 2 2.39500598371255 "m"
"91" 11 2 2.68223966443626 "m"
"92" 12 2 3.05136274561819 "m"
"93" 13 2 3.41405795184057 "m"
"94" 14 2 3.7998513470488 "m"
"95" 15 2 4.20538591061324 "m"
"96" 16 2 5.02565355217237 "m"
"97" 17 2 5.70157859558046 "m"
"98" 18 2 6.46807693203343 "m"
"99" 19 2 6.85495678039547 "m"
"100" 20 2 7.54318183794071 "m"
"101" 21 2 8.54997994669396 "m"
"102" 22 2 9.31120914332694 "m"
"103" 23 2 10.7273990698498 "m"
"104" 24 2 12.6385862985916 "m"
"105" 25 2 14.8980292459712 "m"
"106" 26 2 17.0788219823412 "m"
"107" 27 2 19.082494124793 "m"
"108" 28 2 20.8149585110093 "m"
"109" 29 2 22.9480568590636 "m"
"110" 30 2 25.2419334565991 "m"
"111" 31 2 28.1577734915417 "m"
"112" 32 2 32.1059098342044 "m"
"113" 33 2 35.9145707820162 "m"
"114" 34 2 40.4176640130681 "m"
"115" 35 2 44.5120491640696 "m"
"116" 36 2 47.9477604481405 "m"
"117" 37 2 53.7303625810655 "m"
"118" 38 2 59.4461614589444 "m"
"119" 39 2 65.9280297979344 "m"
"120" 40 2 71.7685845037473 "m"
"121" 41 2 80.5239876860544 "m"
"122" 42 2 86.7782406988202 "m"
"123" 43 2 91.654343436823 "m"
"124" 44 2 96.6390803145119 "m"
"125" 45 2 97.2322873221018 "m"
"126" 46 2 106.275840206385 "m"
"127" 47 2 108.30129272985 "m"
"128" 48 2 124.393461546795 "m"
"129" 49 2 126.582192324662 "m"
"130" 50 2 130.14658334235 "m"
"131" 51 2 139.68689523932 "m"
"132" 52 2 139.242414294211 "m"
"133" 53 2 113.653600519065 "m"
"134" 54 2 117.504866821594 "m"
"135" 55 2 122.085757362983 "m"
"136" 56 2 120.847241395569 "m"
"137" 57 2 118.49501586175 "m"
"138" 58 2 130.271806990149 "m"
"139" 59 2 150.426472046432 "m"
"140" 60 2 154.115487542309 "m"
"141" 61 2 166.398275963436 "m"
"142" 62 2 175.544563824306 "m"
"143" 63 2 186.918219705982 "m"
"144" 64 2 197.251040919713 "m"
"145" 65 2 203.40343281479 "m"
"146" 66 2 214.789547256798 "m"
"147" 67 2 213.313677146646 "m"
"148" 68 2 216.989344256626 "m"
"149" 69 2 198.091373222938 "m"
"150" 70 2 186.875902917663 "m"
"151" 71 2 167.653502920634 "m"
"152" 72 2 152.480845714053 "m"
"153" 73 2 128.767119766455 "m"
"154" 74 2 102.068685394161 "m"
"155" 75 2 86.7199424993212 "m"
"156" 76 2 67.6564808080823 "m"
"157" 77 2 51.0581620943049 "m"
"158" 78 2 35.4968021893444 "m"
"159" 79 2 16.5934687080939 "m"
"160" 80 2 7.75009753055713 "m"
"161" 1 3 0.963838964518597 "m"
"162" 2 3 1.08030362163001 "m"
"163" 3 3 1.18330391106684 "m"
"164" 4 3 1.26523703733355 "m"
"165" 5 3 1.40413760499758 "m"
"166" 6 3 1.63580280640282 "m"
"167" 7 3 1.85416192283959 "m"
"168" 8 3 2.10178595851584 "m"
"169" 9 3 2.35522368038687 "m"
"170" 10 3 2.67941415070909 "m"
"171" 11 3 3.00064579271658 "m"
"172" 12 3 3.41344557726284 "m"
"173" 13 3 3.81900192828357 "m"
"174" 14 3 4.2503338117684 "m"
"175" 15 3 4.70367216092426 "m"
"176" 16 3 5.62076572128996 "m"
"177" 17 3 6.37626610497141 "m"
"178" 18 3 7.23287746140126 "m"
"179" 19 3 7.66480386289873 "m"
"180" 20 3 8.43347526257246 "m"
"181" 21 3 9.55801005527839 "m"
"182" 22 3 10.4076563026523 "m"
"183" 23 3 11.9888947902936 "m"
"184" 24 3 14.1225671865076 "m"
"185" 25 3 16.6443222430141 "m"
"186" 26 3 19.0769111446255 "m"
"187" 27 3 21.3102102593217 "m"
"188" 28 3 23.2390813114843 "m"
"189" 29 3 25.6133919067352 "m"
"190" 30 3 28.1648192349329 "m"
"191" 31 3 31.4072193838472 "m"
"192" 32 3 35.7968389923169 "m"
"193" 33 3 40.0256499924519 "m"
"194" 34 3 45.0219159261755 "m"
"195" 35 3 49.5552504502742 "m"
"196" 36 3 53.3471123123686 "m"
"197" 37 3 59.7393601585187 "m"
"198" 38 3 66.0429747164141 "m"
"199" 39 3 73.1803287095617 "m"
"200" 40 3 80.7388324246849 "m"
"201" 41 3 87.2635157328082 "m"
"202" 42 3 92.1329839154064 "m"
"203" 43 3 95.9402598704603 "m"
"204" 44 3 98.2354981772345 "m"
"205" 45 3 103.598435793486 "m"
"206" 46 3 109.910486867485 "m"
"207" 47 3 118.892579844319 "m"
"208" 48 3 127.744856758738 "m"
"209" 49 3 128.712697667349 "m"
"210" 50 3 141.108311313523 "m"
"211" 51 3 146.743914602693 "m"
"212" 52 3 150.415754363604 "m"
"213" 53 3 118.568410962214 "m"
"214" 54 3 124.194371674604 "m"
"215" 55 3 128.761328250871 "m"
"216" 56 3 132.249926506055 "m"
"217" 57 3 125.329927268142 "m"
"218" 58 3 142.270359616317 "m"
"219" 59 3 156.425741445744 "m"
"220" 60 3 168.620908494479 "m"
"221" 61 3 174.235231980714 "m"
"222" 62 3 193.944176995857 "m"
"223" 63 3 193.383164901925 "m"
"224" 64 3 212.311448183896 "m"
"225" 65 3 210.860384061597 "m"
"226" 66 3 220.258796600015 "m"
"227" 67 3 220.981319900559 "m"
"228" 68 3 214.945709676698 "m"
"229" 69 3 190.606505403563 "m"
"230" 70 3 174.756626573146 "m"
"231" 71 3 153.994712680399 "m"
"232" 72 3 133.497189095919 "m"
"233" 73 3 107.707482987674 "m"
"234" 74 3 86.1353505080606 "m"
"235" 75 3 69.4395462212153 "m"
"236" 76 3 49.8085011042447 "m"
"237" 77 3 35.6322851555268 "m"
