"Var1" "Var2" "value" "gender"
"1" 1 1 1.41251113443281 "m"
"2" 2 1 1.59246634110266 "m"
"3" 3 1 1.76552831789762 "m"
"4" 4 1 1.97892623946184 "m"
"5" 5 1 2.20917710633194 "m"
"6" 6 1 2.45859526107675 "m"
"7" 7 1 2.77618174380005 "m"
"8" 8 1 3.06754596705462 "m"
"9" 9 1 3.30796784642581 "m"
"10" 10 1 3.60738500353829 "m"
"11" 11 1 3.90267992942501 "m"
"12" 12 1 4.25117898038372 "m"
"13" 13 1 4.71284502722595 "m"
"14" 14 1 5.09686874613375 "m"
"15" 15 1 5.52429900132605 "m"
"16" 16 1 6.06787324441623 "m"
"17" 17 1 6.69318241807688 "m"
"18" 18 1 7.38844753683749 "m"
"19" 19 1 7.96537314661387 "m"
"20" 20 1 8.29978203618155 "m"
"21" 21 1 8.73480689649233 "m"
"22" 22 1 9.58777889812992 "m"
"23" 23 1 10.7082729552571 "m"
"24" 24 1 11.9676597186474 "m"
"25" 25 1 13.5707821137104 "m"
"26" 26 1 15.5613022049541 "m"
"27" 27 1 17.6726052882247 "m"
"28" 28 1 19.4397402083593 "m"
"29" 29 1 21.3620136023721 "m"
"30" 30 1 23.7555844092467 "m"
"31" 31 1 26.3382881695138 "m"
"32" 32 1 29.0782980451279 "m"
"33" 33 1 31.9611104101356 "m"
"34" 34 1 35.0884385966951 "m"
"35" 35 1 37.9712723136988 "m"
"36" 36 1 40.8577994546347 "m"
"37" 37 1 43.645510837597 "m"
"38" 38 1 46.1152727688361 "m"
"39" 39 1 48.9583459493358 "m"
"40" 40 1 52.5129549139891 "m"
"41" 41 1 55.9255597067546 "m"
"42" 42 1 61.6465354748438 "m"
"43" 43 1 63.956829684672 "m"
"44" 44 1 70.8980589125481 "m"
"45" 45 1 72.1780496657287 "m"
"46" 46 1 80.2241306153566 "m"
"47" 47 1 86.598770771899 "m"
"48" 48 1 93.1290596916511 "m"
"49" 49 1 106.116420258517 "m"
"50" 50 1 121.348530280944 "m"
"51" 51 1 138.245091161344 "m"
"52" 52 1 136.857586555273 "m"
"53" 53 1 124.13166995755 "m"
"54" 54 1 141.470788654368 "m"
"55" 55 1 150.524525293621 "m"
"56" 56 1 148.266780504087 "m"
"57" 57 1 144.828929980272 "m"
"58" 58 1 155.591680528646 "m"
"59" 59 1 170.959664407 "m"
"60" 60 1 181.341465573323 "m"
"61" 61 1 189.302401085922 "m"
"62" 62 1 196.735516685677 "m"
"63" 63 1 197.005786715122 "m"
"64" 64 1 202.08813499918 "m"
"65" 65 1 200.277856362913 "m"
"66" 66 1 202.479062612161 "m"
"67" 67 1 210.568578642352 "m"
"68" 68 1 200.837886226345 "m"
"69" 69 1 190.688642485296 "m"
"70" 70 1 181.766994851252 "m"
"71" 71 1 157.071280076313 "m"
"72" 72 1 144.702256665357 "m"
"73" 73 1 124.927895462674 "m"
"74" 74 1 102.338707605676 "m"
"75" 75 1 84.4770657262779 "m"
"76" 76 1 65.8716765647954 "m"
"77" 77 1 54.1977527155579 "m"
"78" 78 1 41.2186972784676 "m"
"79" 79 1 22.8727078496511 "m"
"80" 80 1 12.1275736987524 "m"
"81" 1 2 1.55166594316483 "m"
"82" 2 2 1.74931981426103 "m"
"83" 3 2 1.93939162945162 "m"
"84" 4 2 2.17375958231446 "m"
"85" 5 2 2.4266247813286 "m"
"86" 6 2 2.7005259710776 "m"
"87" 7 2 3.04928046649656 "m"
"88" 8 2 3.36920586215149 "m"
"89" 9 2 3.63315104717385 "m"
"90" 10 2 3.96185853713167 "m"
"91" 11 2 4.28599981183069 "m"
"92" 12 2 4.66852449797682 "m"
"93" 13 2 5.17526483139251 "m"
"94" 14 2 5.59667359674551 "m"
"95" 15 2 6.06566687036986 "m"
"96" 16 2 6.66208612885596 "m"
"97" 17 2 7.34811660926558 "m"
"98" 18 2 8.11079093833625 "m"
"99" 19 2 8.74338250189876 "m"
"100" 20 2 9.10960942134091 "m"
"101" 21 2 9.58610351152187 "m"
"102" 22 2 10.5210280485348 "m"
"103" 23 2 11.7491420917015 "m"
"104" 24 2 13.1291686683911 "m"
"105" 25 2 14.8856683751342 "m"
"106" 26 2 17.0662649682927 "m"
"107" 27 2 19.3782786880436 "m"
"108" 28 2 21.3117660896434 "m"
"109" 29 2 23.4140781547474 "m"
"110" 30 2 26.03137899382 "m"
