"Var1" "Var2" "value" "gender"
"1" 1 1 2.06556312308551 "m"
"2" 2 1 2.29507161091465 "m"
"3" 3 1 2.57956902013429 "m"
"4" 4 1 2.91387580789106 "m"
"5" 5 1 3.27777391769944 "m"
"6" 6 1 3.69022230422653 "m"
"7" 7 1 4.14519627111406 "m"
"8" 8 1 4.59132816419162 "m"
"9" 9 1 4.95060770770966 "m"
"10" 10 1 5.28128830728475 "m"
"11" 11 1 5.69967445425333 "m"
"12" 12 1 6.23611350725025 "m"
"13" 13 1 6.89756708781196 "m"
"14" 14 1 7.48533334657794 "m"
"15" 15 1 8.15415744472277 "m"
"16" 16 1 9.0273171064331 "m"
"17" 17 1 9.86554025237771 "m"
"18" 18 1 10.922555328082 "m"
"19" 19 1 11.7686745059537 "m"
"20" 20 1 12.3933569624214 "m"
"21" 21 1 13.4226011218166 "m"
"22" 22 1 14.4794647123013 "m"
"23" 23 1 15.9786370425147 "m"
"24" 24 1 17.5790484217738 "m"
"25" 25 1 19.1356134227793 "m"
"26" 26 1 21.6973376308941 "m"
"27" 27 1 25.1349433195081 "m"
"28" 28 1 28.6870011978726 "m"
"29" 29 1 31.000397915677 "m"
"30" 30 1 32.8391975718896 "m"
"31" 31 1 35.7364762967646 "m"
"32" 32 1 39.6895248029126 "m"
"33" 33 1 45.4299274987108 "m"
"34" 34 1 51.8222289017163 "m"
"35" 35 1 57.3629966543652 "m"
"36" 36 1 62.9396799843283 "m"
"37" 37 1 69.4961758672553 "m"
"38" 38 1 77.296680451932 "m"
"39" 39 1 83.9073533277441 "m"
"40" 40 1 90.1480131732115 "m"
"41" 41 1 98.0459629932615 "m"
"42" 42 1 101.780107324809 "m"
"43" 43 1 106.432613923168 "m"
"44" 44 1 111.575041822163 "m"
"45" 45 1 112.411238788174 "m"
"46" 46 1 114.882032292086 "m"
"47" 47 1 118.43502740426 "m"
"48" 48 1 119.724578397599 "m"
"49" 49 1 122.164298851554 "m"
"50" 50 1 129.555526723984 "m"
"51" 51 1 140.75385163154 "m"
"52" 52 1 133.295166628055 "m"
"53" 53 1 121.049777132291 "m"
"54" 54 1 126.866459398719 "m"
"55" 55 1 139.341383644609 "m"
"56" 56 1 142.643879585873 "m"
"57" 57 1 135.663306286798 "m"
"58" 58 1 135.239211233208 "m"
"59" 59 1 134.624893187326 "m"
"60" 60 1 138.955512902977 "m"
"61" 61 1 140.467580073701 "m"
"62" 62 1 139.97295168886 "m"
"63" 63 1 143.954628625132 "m"
"64" 64 1 141.503584626547 "m"
"65" 65 1 141.226616594838 "m"
"66" 66 1 143.150371108309 "m"
"67" 67 1 143.7925214544 "m"
"68" 68 1 142.445068927195 "m"
"69" 69 1 139.160857444224 "m"
"70" 70 1 134.387111408213 "m"
"71" 71 1 120.2864519059 "m"
"72" 72 1 107.435849419146 "m"
"73" 73 1 93.4829224767106 "m"
"74" 74 1 82.9155744925995 "m"
"75" 75 1 67.1745635244946 "m"
"76" 76 1 54.0906534038049 "m"
"77" 77 1 43.6750402015579 "m"
"78" 78 1 31.0082626261692 "m"
"79" 79 1 20.7213697870795 "m"
"80" 80 1 13.6863224805394 "m"
"81" 1 2 2.27786128303806 "m"
"82" 2 2 2.530898324322 "m"
"83" 3 2 2.84455411082869 "m"
"84" 4 2 3.2131092957106 "m"
"85" 5 2 3.61426150673648 "m"
"86" 6 2 4.0689072679742 "m"
"87" 7 2 4.57039218558118 "m"
"88" 8 2 5.0620691123358 "m"
"89" 9 2 5.45792663527361 "m"
"90" 10 2 5.82219010783814 "m"
"91" 11 2 6.28306488425506 "m"
"92" 12 2 6.87397446241676 "m"
"93" 13 2 7.60255202200247 "m"
"94" 14 2 8.24975476996773 "m"
"95" 15 2 8.98611453781139 "m"
"96" 16 2 9.947425597198 "m"
"97" 17 2 10.8699564468669 "m"
"98" 18 2 12.0332091480149 "m"
"99" 19 2 12.9637281335228 "m"
"100" 20 2 13.649942252856 "m"
"101" 21 2 14.7812712800451 "m"
"102" 22 2 15.9424097875588 "m"
"103" 23 2 17.5897614274855 "m"
"104" 24 2 19.3475486389154 "m"
"105" 25 2 21.0559133244919 "m"
"106" 26 2 23.8687149505844 "m"
"107" 27 2 27.6426785392367 "m"
"108" 28 2 31.5394811829178 "m"
"109" 29 2 34.0714102685879 "m"
"110" 30 2 36.0789316633614 "m"
"111" 31 2 39.2459114603088 "m"
"112" 32 2 43.5674036947898 "m"
"113" 33 2 49.8437283953179 "m"
"114" 34 2 56.8256936663156 "m"
"115" 35 2 62.8631016827462 "m"
"116" 36 2 68.9281088635687 "m"
"117" 37 2 76.0519352388244 "m"
"118" 38 2 84.5189768968452 "m"
"119" 39 2 91.6643408433931 "m"
"120" 40 2 98.3835890496555 "m"
"121" 41 2 103.625357115988 "m"
"122" 42 2 108.049764266797 "m"
"123" 43 2 113.591017987247 "m"
"124" 44 2 116.185080502167 "m"
"125" 45 2 118.258902933208 "m"
"126" 46 2 121.419604331999 "m"
"127" 47 2 121.47269189369 "m"
"128" 48 2 123.776894282603 "m"
"129" 49 2 130.476245922266 "m"
"130" 50 2 136.372024422229 "m"
"131" 51 2 148.430368998984 "m"
"132" 52 2 141.870146583679 "m"
"133" 53 2 127.643141335405 "m"
"134" 54 2 137.370450757991 "m"
"135" 55 2 148.149639228081 "m"
"136" 56 2 149.733196168418 "m"
"137" 57 2 142.774048614156 "m"
"138" 58 2 139.144575529451 "m"
"139" 59 2 143.024814264153 "m"
"140" 60 2 146.169304779486 "m"
"141" 61 2 145.460696972519 "m"
"142" 62 2 146.526395562904 "m"
"143" 63 2 147.930533045425 "m"
"144" 64 2 146.636879821755 "m"
"145" 65 2 143.545063584006 "m"
"146" 66 2 144.804560035827 "m"
"147" 67 2 142.211652799567 "m"
"148" 68 2 141.786058872119 "m"
"149" 69 2 126.185106833698 "m"
"150" 70 2 124.873077935935 "m"
"151" 71 2 115.673614884514 "m"
"152" 72 2 99.9715282574323 "m"
"153" 73 2 86.9637965262436 "m"
"154" 74 2 72.4330869275243 "m"
"155" 75 2 57.5346115406179 "m"
"156" 76 2 44.9783302675585 "m"
"157" 77 2 33.9512833928923 "m"
"158" 78 2 23.7176364760247 "m"
"159" 79 2 13.8554964063388 "m"
"160" 80 2 8.7000393564944 "m"
"161" 1 3 2.51191957447527 "m"
"162" 2 3 2.79088373923982 "m"
"163" 3 3 3.13666877322081 "m"
"164" 4 3 3.54295858592186 "m"
"165" 5 3 3.98515148972898 "m"
"166" 6 3 4.48627779364614 "m"
"167" 7 3 5.0389866039917 "m"
"168" 8 3 5.58081016897931 "m"
"169" 9 3 6.01691947424355 "m"
"170" 10 3 6.41812063296294 "m"
"171" 11 3 6.92572826165906 "m"
"172" 12 3 7.57654804703287 "m"
"173" 13 3 8.3789441169131 "m"
"174" 14 3 9.09146552226111 "m"
"175" 15 3 9.90202346044512 "m"
"176" 16 3 10.9601785846377 "m"
"177" 17 3 11.9752617795099 "m"
"178" 18 3 13.2551250261674 "m"
"179" 19 3 14.2781444075938 "m"
"180" 20 3 15.0316244642386 "m"
"181" 21 3 16.2747096394628 "m"
"182" 22 3 17.5498813820128 "m"
"183" 23 3 19.3593394022208 "m"
"184" 24 3 21.2891166947092 "m"
"185" 25 3 23.1630996261453 "m"
"186" 26 3 26.2501174614382 "m"
"187" 27 3 30.3913167368068 "m"
"188" 28 3 34.6638970881782 "m"
"189" 29 3 37.4327076678324 "m"
"190" 30 3 39.6219970285936 "m"
"191" 31 3 43.0804469555093 "m"
"192" 32 3 47.8002487834455 "m"
